# X,Y,Z,error,cx_i,cy_i
-2.079362590021533833e+03,-9.077980965546396419e+02,2.396293033829980743e+02,5.159439226485620367e-01,1.560836718115353392e+02,1.210076124567474153e+03,1.109355828220858911e+02,8.929808917197452729e+02,nan,nan,3.259245001492091660e+02,1.019041873030166585e+03
-1.771380277700557144e+03,-1.219750680301936200e+03,4.824140344964984024e+02,4.398806637944566167e-01,1.571070075757575637e+02,1.310020898641588246e+03,1.401661585365853568e+02,1.041935127674258183e+03,4.580909985243482652e+02,1.068068753493571876e+03,nan,nan
-2.162488324203362936e+03,-1.307027977977576711e+03,8.292445189916288939e+01,2.677544282576961865e-01,1.579439754412893251e+02,1.368933913043478242e+03,1.538930366116295829e+02,1.025025179856115074e+03,nan,nan,3.338130808950086248e+02,1.184991803278688622e+03
-1.831844971797077960e+03,-1.277835338120958568e+03,3.940538214478766577e+02,5.185128840974861930e-01,1.621043643263757019e+02,1.338941921858500564e+03,1.531167127071823302e+02,1.053070411392405049e+03,4.291012461059190173e+02,1.103993951612903174e+03,nan,nan
-2.209543779724484466e+03,-9.541652503031479000e+02,8.285827192958042531e+01,3.844495870847282060e-01,1.630715563506261105e+02,1.240095953002610941e+03,1.261438809261300946e+02,8.970141944641590044e+02,2.909983136593592121e+02,9.639839285714285779e+02,nan,nan
-1.857415545966150603e+03,-1.101092862844205229e+03,3.980182441948623477e+02,3.552777656552388863e-01,1.631376205787781259e+02,1.268895629484670508e+03,1.360840611353711722e+02,9.850751121076233403e+02,4.280763779527559336e+02,1.013978930307941710e+03,nan,nan
-1.828238821477463944e+03,-1.134959002350618903e+03,4.225495353699553789e+02,9.190550525007313842e-01,1.631411444141689344e+02,1.281067828251400215e+03,1.380110441767068323e+02,1.000979074889867888e+03,4.390780648708081344e+02,1.029073093887838695e+03,nan,nan
-1.938305630460537941e+03,-8.558107952357546537e+02,3.547661428716182854e+02,3.387303030675030691e-01,nan,nan,1.150287206266318520e+02,8.839198036006546317e+02,4.080032626427405944e+02,8.970681216931217250e+02,3.820574074074074247e+02,1.000964326812428112e+03
-1.942771072109010902e+03,-1.376885004292954818e+03,2.631758388882772124e+02,5.108707260931047989e-01,1.649567307692307736e+02,1.386043694141013020e+03,1.640927299703264168e+02,1.073860568383659029e+03,nan,nan,4.270328521652563722e+02,1.231912865497075927e+03
-2.285958381435073989e+03,-9.549080268902998796e+02,7.550945004042080910e+00,4.603871980618852167e-01,1.650000000000000000e+02,1.246000993048659439e+03,1.270315789473684163e+02,8.909497326203209013e+02,2.619879621668099503e+02,9.700543478260869961e+02,nan,nan
-2.131341216895707021e+03,-1.293580372039693657e+03,9.154342961384669763e+01,5.060519529306577446e-01,1.662018834608593352e+02,1.363002861230329017e+03,1.588792822185970692e+02,1.022015999999999963e+03,nan,nan,3.470529531568228094e+02,1.179016000000000076e+03
-1.982201084372839205e+03,-1.018899707909646850e+03,2.722557757882624401e+02,5.260068324478515134e-01,1.680028382213812677e+02,1.247008179959100289e+03,1.360317324185248822e+02,9.399433771486350224e+02,3.809367609254498461e+02,9.829681122448979522e+02,nan,nan
-1.869806533613032116e+03,-8.564266566731125749e+02,4.092850952968565821e+02,3.679404025756913832e-01,1.689245727754861548e+02,1.172938729198184546e+03,1.179912162162162161e+02,8.889081300813007829e+02,4.391317898486197464e+02,8.938394698085419350e+02,nan,nan
-1.829692516455187615e+03,-1.300946635292424389e+03,3.751968535601970416e+02,4.947468230413974433e-01,1.690196703880914413e+02,1.349072179397337095e+03,1.600385852090032017e+02,1.060966024915062235e+03,4.299532563025210266e+02,1.117019112207151693e+03,nan,nan
-1.916845185787962009e+03,-1.514487097859028836e+03,2.491533667018261724e+02,3.428193591156416531e-01,1.700246913580246826e+02,1.441073529411764639e+03,1.819891050583657659e+02,1.123941570881225971e+03,nan,nan,4.510656779661017026e+02,1.289205128205128176e+03
-2.092490953684443866e+03,-8.210226744789923714e+02,1.962788319932792831e+02,2.681575591027068883e-01,1.700300489168413662e+02,1.180975402883799916e+03,1.181058263971462594e+02,8.569639846743294811e+02,3.479985915492957815e+02,8.950188034188033726e+02,nan,nan
